Id,gender,age,nationality,sport,ind-university_grade,ind-debateclub,ind-programming_exp,ind-international_exp,ind-entrepeneur_exp,ind-languages,ind-exact_study,ind-degree,company,decision
x1220c,0,30,Dutch,Football,57,1,0,0,1,3,0,2,B,True
x1354f,0,27,Dutch,Football,68,0,1,0,0,1,1,2,B,False
x3251e,1,27,Belgian,Football,54,0,0,1,1,2,0,2,B,True
x7819f,0,21,Dutch,Football,58,0,0,0,0,1,0,1,B,False
x2735a,0,27,Dutch,Football,60,1,0,0,1,3,0,3,B,True
x7103e,0,22,Dutch,Tennis,60,0,1,0,0,1,0,1,B,False
x4370f,1,21,Dutch,Tennis,67,0,1,0,1,1,1,2,B,True
x7334d,0,28,Dutch,Tennis,74,0,1,0,0,1,1,2,B,False
x2392c,0,29,Belgian,Football,60,0,1,0,0,0,1,2,B,False
x2276a,1,28,Dutch,Tennis,56,0,0,1,1,2,0,2,B,True
x3709a,0,30,Dutch,Golf,60,0,0,1,0,1,0,3,B,False
x8284g,0,26,Dutch,Golf,58,0,0,0,0,0,0,2,B,False
x8380b,1,24,Dutch,Football,65,1,0,0,1,3,1,1,B,True
x2656e,0,26,Dutch,Football,67,0,1,0,0,2,1,1,B,True
x7191e,1,27,Dutch,Football,57,1,0,0,1,3,0,1,B,False
x6433b,0,28,Belgian,Football,70,0,1,0,0,1,1,1,B,False
x3165g,1,28,Dutch,Tennis,70,1,1,0,0,2,1,1,B,False
x8756c,1,30,Dutch,Football,57,0,0,0,1,2,0,1,B,True
x8230a,1,26,Dutch,Tennis,61,1,0,0,0,2,0,1,B,True
x2244g,0,23,Belgian,Tennis,69,0,1,0,0,1,1,1,B,False
x5103e,1,30,Dutch,Golf,67,0,1,1,0,0,1,3,B,False
x4018b,1,25,Dutch,Football,67,1,0,0,1,3,1,1,B,True
x3550d,1,29,Dutch,Football,55,0,0,0,0,2,0,1,B,False
x2373c,0,21,Dutch,Football,69,0,0,0,1,2,1,1,B,True
x3330f,1,28,Dutch,Tennis,64,0,1,0,0,1,1,1,B,False
x2986g,0,24,Dutch,Golf,61,0,0,0,1,2,1,1,B,False
x2951d,1,26,Belgian,Football,62,1,0,0,1,3,0,2,B,True
x6496g,1,30,Dutch,Football,50,0,0,0,0,0,0,1,B,False
x6189e,1,28,Dutch,Football,49,0,0,0,1,2,0,1,B,False
x8811b,1,26,Dutch,Tennis,52,1,0,0,1,3,0,1,B,True
x1606f,1,21,Dutch,Tennis,59,0,0,0,0,1,0,1,B,False
x6398a,1,26,Dutch,Tennis,58,1,0,0,1,3,0,1,B,True
x6458b,0,22,Dutch,Football,59,0,0,0,0,1,1,1,B,False
x7914e,0,27,Dutch,Golf,63,0,0,0,0,1,1,1,B,False
x4961d,1,26,Dutch,Football,62,1,0,0,1,3,0,1,B,True
x3835f,0,24,Dutch,Football,48,0,0,0,0,1,0,1,B,False
x5081a,1,25,Dutch,Football,57,0,0,1,1,2,0,2,B,False
x6998c,1,25,Dutch,Tennis,60,1,0,0,1,2,0,1,B,True
x5577e,1,27,Dutch,Football,64,0,0,0,0,2,0,2,B,True
x2967e,1,28,Dutch,Tennis,71,0,0,0,1,2,1,1,B,True
x7239b,1,26,Dutch,Football,58,1,0,0,1,2,0,1,B,True
